batchID,lotID,quantityUsedKg
RB0001,BL0106,260.12
RB0002,BL0088,158.71
RB0003,BL0070,32.33
RB0003,BL0142,21.55
RB0004,BL0104,73.18
RB0005,BL0093,54.43
RB0005,BL0086,36.28
RB0006,BL0080,63.06
RB0007,BL0086,227.41
RB0008,BL0077,205.53
RB0009,BL0086,233.65
RB0010,BL0146,292.12
RB0011,BL0197,153.81
RB0011,BL0053,102.54
RB0012,BL0040,28.24
RB0013,BL0073,107.72
RB0013,BL0024,71.81
RB0014,BL0147,24.47
RB0015,BL0038,133.18
RB0016,BL0035,184.71
RB0017,BL0183,174.56
RB0017,BL0049,116.38
RB0018,BL0146,144.35
RB0018,BL0078,96.24
RB0019,BL0164,160.35
RB0020,BL0076,91.65
RB0021,BL0045,185.53
RB0022,BL0124,91.06
RB0023,BL0200,168.35
RB0024,BL0159,139.29
RB0025,BL0129,157.88
RB0026,BL0128,153.74
RB0026,BL0070,102.5
RB0027,BL0153,152.12
RB0028,BL0080,142.82
RB0029,BL0079,35.76
RB0030,BL0152,105.81
RB0030,BL0021,70.54
RB0031,BL0081,78.0
RB0032,BL0136,135.65
RB0033,BL0112,197.18
RB0034,BL0110,65.88
RB0035,BL0123,56.24
RB0036,BL0026,32.47
RB0037,BL0155,36.56
RB0037,BL0168,24.38
RB0038,BL0108,208.71
RB0039,BL0023,140.68
RB0039,BL0198,93.79
RB0040,BL0036,279.06
RB0041,BL0034,99.88
RB0042,BL0110,64.37
RB0042,BL0193,42.92
RB0043,BL0199,253.65
RB0044,BL0039,227.88
RB0045,BL0121,263.65
RB0046,BL0039,255.65
RB0047,BL0054,88.59
RB0048,BL0076,121.06
RB0048,BL0173,80.7
RB0049,BL0086,54.82
RB0050,BL0140,105.32
RB0050,BL0144,70.21
RB0051,BL0187,247.29
RB0052,BL0083,21.81
RB0052,BL0093,14.54
RB0053,BL0186,62.12
RB0054,BL0161,93.53
RB0055,BL0072,141.95
RB0055,BL0165,94.64
RB0056,BL0134,94.03
