lotID,supplierID,farmID,beanID,arrivalDate,quantityKg,costPerKg,remainingKg
BL0001,S021,F042,B036,2015-04-04,18000.0,17.49,18000.0
BL0002,S135,F020,B103,2015-04-04,18000.0,11.02,18000.0
BL0003,S191,F020,B127,2010-05-31,5.0,16.69,5.0
BL0004,S102,F187,B012,2015-03-26,19200.0,14.77,19200.0
BL0005,S070,F153,B157,2015-04-04,18000.0,11.58,18000.0
BL0006,S072,F101,B070,2013-09-03,3000.0,10.36,3000.0
BL0007,S065,F102,B130,2012-09-17,6900.0,9.99,6900.0
BL0008,S173,F197,B152,2010-09-02,18000.0,12.07,18000.0
BL0009,S161,F012,B009,2010-09-02,18000.0,14.41,18000.0
BL0010,S194,F115,B159,2015-03-30,3000.0,15.64,3000.0
BL0011,S052,F121,B070,2015-03-27,18000.0,7.24,18000.0
BL0012,S186,F039,B108,2015-03-13,10.0,10.84,10.0
BL0013,S051,F035,B130,2015-03-13,10.0,5.94,10.0
BL0014,S131,F034,B169,2010-05-31,1.0,7.94,1.0
BL0015,S083,F033,B025,2010-08-31,18000.0,8.14,18000.0
BL0016,S122,F109,B110,2015-03-13,10.0,14.31,10.0
BL0017,S158,F076,B087,2010-05-31,2.0,10.46,2.0
BL0018,S184,F183,B093,2010-06-16,900.0,9.93,900.0
BL0019,S103,F148,B013,2016-04-07,180.0,15.27,180.0
BL0020,S173,F151,B067,2015-03-25,15000.0,9.63,15000.0
BL0021,S192,F105,B075,2015-03-13,10.0,8.05,10.0
BL0022,S123,F165,B072,2014-04-02,340.0,5.82,340.0
BL0023,S042,F192,B099,2012-07-26,14.0,8.34,14.0
BL0024,S138,F047,B034,2015-03-13,10.0,14.12,10.0
BL0025,S199,F057,B085,2013-09-03,6000.0,11.59,6000.0
BL0026,S198,F161,B168,2011-12-03,180.0,7.47,180.0
BL0027,S077,F172,B195,2010-06-16,900.0,7.92,900.0
BL0028,S051,F088,B074,2014-06-26,6000.0,14.28,6000.0
BL0029,S196,F172,B170,2017-05-18,18975.0,12.13,18975.0
BL0030,S183,F183,B093,2016-05-18,1000.0,5.46,1000.0
BL0031,S156,F192,B184,2010-05-18,1650.0,7.0,1650.0
BL0032,S137,F018,B162,2013-09-03,6000.0,13.12,6000.0
BL0033,S142,F037,B020,2011-12-03,1740.0,6.02,1740.0
BL0034,S009,F020,B015,2015-12-03,227.5,16.39,227.5
BL0035,S120,F033,B027,2015-03-27,19200.0,11.95,19200.0
BL0036,S158,F184,B170,2014-05-30,320.0,16.44,320.0
BL0037,S114,F120,B152,2012-04-06,453.6,15.33,453.6
BL0038,S158,F165,B072,2011-01-28,1134.0,10.27,1134.0
BL0039,S196,F042,B036,2010-06-17,1800.0,10.1,1800.0
BL0040,S162,F042,B045,2015-03-13,10.0,7.13,10.0
BL0041,S024,F115,B036,2012-04-12,53.0,15.96,53.0
BL0042,S052,F156,B095,2011-01-04,18000.0,9.23,18000.0
BL0043,S033,F080,B094,2011-01-04,18000.0,5.1,18000.0
BL0044,S110,F007,B119,2015-06-10,150.0,17.68,150.0
BL0045,S139,F098,B009,2015-01-29,720.0,5.96,720.0
BL0046,S102,F040,B028,2011-12-03,420.0,5.38,420.0
BL0047,S163,F162,B068,2014-10-01,60.0,9.22,60.0
BL0048,S030,F057,B054,2014-03-20,2.0,14.16,2.0
BL0049,S045,F199,B082,2014-02-06,1.0,13.18,1.0
BL0050,S081,F132,B191,2012-02-13,60.0,10.95,60.0
BL0051,S054,F198,B081,2010-06-17,1800.0,12.8,1800.0
BL0052,S172,F036,B064,2010-05-31,2.0,5.42,2.0
BL0053,S097,F184,B050,2016-05-16,5520.0,8.28,5520.0
BL0054,S091,F023,B053,2014-06-30,60.0,12.31,60.0
BL0055,S068,F184,B105,2013-07-26,19250.0,14.5,19250.0
BL0056,S112,F143,B168,2017-10-09,2220.0,16.1,2220.0
BL0057,S020,F197,B073,2015-04-04,19200.0,14.88,19200.0
BL0058,S110,F121,B041,2012-07-03,150.0,14.57,150.0
BL0059,S050,F047,B028,2012-06-05,275.0,16.99,275.0
BL0060,S194,F034,B180,2017-06-23,6144000.0,10.73,6144000.0
BL0061,S030,F074,B065,2014-01-22,635.6,16.36,635.6
BL0062,S113,F047,B028,2012-10-25,420.0,14.83,420.0
BL0063,S121,F029,B061,2013-03-18,550.0,13.14,550.0
BL0064,S074,F003,B064,2013-01-12,19.0,14.64,19.0
BL0065,S186,F040,B034,2012-04-06,362.88,7.45,362.88
BL0066,S168,F049,B193,2015-05-23,6000.0,12.17,6000.0
BL0067,S131,F175,B070,2015-05-23,960.0,9.76,960.0
BL0068,S014,F057,B169,2015-03-31,19200.0,5.33,19200.0
BL0069,S026,F143,B168,2014-06-26,19200.0,14.91,19200.0
BL0070,S143,F047,B034,2013-02-26,17250.0,10.05,17250.0
BL0071,S133,F101,B163,2015-03-31,19200.0,12.96,19200.0
BL0072,S014,F152,B132,2014-06-26,9000.0,15.98,9000.0
BL0073,S078,F109,B103,2012-04-06,362.88,17.74,362.88
