productID,beanID,proportion
1000,B026,0.292
1000,B009,0.240
1000,B024,0.468
1001,B060,0.391
1001,B039,0.609
1002,B028,0.219
1002,B030,0.254
1002,B015,0.269
1002,B001,0.258
1003,B025,0.477
1003,B038,0.523
1004,B006,0.400
1004,B015,0.600
1005,B042,0.274
1005,B052,0.219
1005,B033,0.507
1006,B054,0.320
1006,B051,0.156
1006,B013,0.202
1006,B047,0.322
1007,B030,0.744
1007,B018,0.256
1008,B059,0.390
1008,B058,0.267
1008,B050,0.166
1008,B023,0.177
1009,B028,0.454
1009,B042,0.122
1009,B005,0.366
1009,B024,0.058
1010,B046,0.339
1010,B036,0.661
1011,B034,0.207
1011,B060,0.342
1011,B031,0.256
1011,B022,0.195
1012,B001,0.252
1012,B057,0.540
1012,B037,0.208
1013,B042,0.318
1013,B015,0.118
1013,B037,0.336
1013,B012,0.228
1014,B046,0.334
1014,B052,0.241
1014,B060,0.324
1014,B040,0.101
1015,B018,0.385
1015,B043,0.615
1016,B056,0.077
1016,B039,0.601
1016,B021,0.322
1017,B045,0.208
1017,B023,0.378
1017,B029,0.414
1018,B044,0.822
1018,B014,0.178
1019,B051,0.228
1019,B055,0.271
1019,B046,0.267
1019,B024,0.234
1020,B022,0.445
1020,B045,0.173
1020,B055,0.382
1021,B011,0.159
1021,B052,0.841
1022,B011,0.194
1022,B007,0.464
1022,B010,0.342
1023,B040,0.287
1023,B059,0.375
1023,B013,0.338
1024,B040,0.251
1024,B035,0.530
1024,B025,0.070
1024,B024,0.149
1025,B018,0.138
1025,B001,0.165
1025,B021,0.465
1025,B034,0.232
1026,B058,0.251
1026,B001,0.200
1026,B024,0.196
1026,B056,0.353
1027,B009,0.240
1027,B056,0.576
1027,B016,0.184
1028,B003,0.310
1028,B021,0.214
1028,B023,0.301
1028,B015,0.175
1029,B013,0.307
1029,B043,0.526
1029,B001,0.167
1030,B042,0.132
1030,B058,0.200
1030,B030,0.668
1031,B006,0.423
1031,B040,0.500
1031,B027,0.077
1032,B054,0.242
1032,B032,0.123
1032,B057,0.304
1032,B017,0.331
1033,B023,0.152
1033,B002,0.356
1033,B058,0.362
1033,B049,0.130
1034,B029,0.682
1034,B030,0.318
1035,B013,0.117
1035,B055,0.067
1035,B046,0.560
1035,B030,0.256
1036,B029,0.193
1036,B054,0.412
1036,B023,0.395
1037,B013,0.140
1037,B055,0.860
1038,B039,0.100
1038,B019,0.252
1038,B044,0.467
1038,B054,0.181
1039,B051,0.525
1039,B012,0.346
1039,B017,0.129
1040,B004,0.292
1040,B020,0.336
1040,B037,0.092
1040,B006,0.280
1041,B054,0.308
1041,B048,0.315
1041,B046,0.377
1042,B035,0.164
1042,B057,0.259
1042,B005,0.286
1042,B014,0.291
1043,B040,0.546
1043,B027,0.213
1043,B032,0.241
1044,B039,0.168
1044,B056,0.406
1044,B012,0.426
1045,B028,0.490
1045,B015,0.510
1046,B012,0.231
1046,B023,0.211
1046,B018,0.239
1046,B036,0.319
1047,B050,0.244
1047,B002,0.541
1047,B056,0.215
1048,B038,0.674
1048,B060,0.326
1049,B060,0.474
1049,B035,0.526
1050,B021,0.319
1050,B010,0.208
1050,B014,0.204
1050,B056,0.269
1051,B004,0.212
1051,B040,0.343
1051,B022,0.445
1052,B058,0.454
1052,B007,0.546
1053,B031,0.253
1053,B050,0.300
1053,B058,0.080
1053,B019,0.367
1054,B007,0.470
1054,B011,0.530
1055,B011,0.454
1055,B015,0.383
1055,B035,0.163
1056,B044,0.645
1056,B040,0.355
1057,B018,0.120
1057,B053,0.136
1057,B012,0.372
1057,B042,0.372
1058,B048,0.331
1058,B005,0.209
1058,B037,0.301
1058,B009,0.159
1059,B027,0.392
1059,B037,0.442
1059,B043,0.060
1059,B057,0.106
1060,B024,0.281
1060,B041,0.563
1060,B040,0.156
1061,B011,0.510
1061,B057,0.490
1062,B009,0.288
1062,B013,0.560
1062,B036,0.152
1063,B059,0.383
1063,B026,0.208
1063,B031,0.165
1063,B045,0.244
1064,B019,0.558
1064,B005,0.442
1065,B050,0.246
1065,B049,0.754
1066,B057,0.315
1066,B038,0.241
1066,B022,0.374
1066,B052,0.070
1067,B053,0.529
1067,B052,0.209
1067,B045,0.262
1068,B012,0.672
1068,B022,0.328
1069,B045,0.295
1069,B036,0.157
1069,B010,0.208
1069,B050,0.340
1070,B023,0.506
1070,B052,0.494
1071,B019,0.394
1071,B053,0.247
1071,B023,0.359
1072,B041,0.434
1072,B015,0.566
1073,B013,0.163
1073,B039,0.461
1073,B056,0.084
1073,B047,0.292
1074,B005,0.556
1074,B043,0.138
1074,B004,0.306
1075,B040,0.311
1075,B049,0.207
1075,B029,0.286
1075,B036,0.196
1076,B022,0.116
1076,B041,0.476
1076,B056,0.140
1076,B019,0.268
1077,B023,0.299
1077,B041,0.438
1077,B010,0.263
1078,B060,0.111
1078,B006,0.447
1078,B012,0.171
1078,B042,0.271
1079,B015,0.382
1079,B039,0.343
1079,B053,0.275
