clientID,productID,specialUnitPricePerKg,discount
C001,1000,85.97,0.05
C002,1001,42.30,0.10
C003,1002,40.64,0.03
C004,1003,48.50,0.00
C005,1004,46.26,0.10
C006,1005,37.72,0.05
C007,1006,51.40,0.00
C008,1007,50.25,0.05
C009,1008,33.84,0.10
C010,1009,64.80,0.10
C011,1010,37.73,0.03
C012,1011,25.38,0.10
C013,1012,55.58,0.03
C014,1013,63.20,0.08
C015,1014,63.20,0.08
C016,1015,38.81,0.12
C017,1016,48.58,0.08
C018,1017,46.00,0.00
C019,1018,50.25,0.05
C020,1019,34.23,0.12
C021,1020,35.82,0.10
C022,1021,36.62,0.08
C023,1022,44.17,0.05
C024,1023,51.34,0.08
C025,1024,57.04,0.03
C026,1025,31.50,0.10
C027,1026,56.84,0.03
C028,1027,39.69,0.10
C029,1028,49.10,0.12
C030,1029,47.00,0.00
C031,1030,44.82,0.10
C032,1031,44.82,0.10
C033,1032,40.57,0.08
C034,1033,47.50,0.05
C035,1034,85.36,0.12
C036,1035,58.23,0.10
C037,1036,44.10,0.00
C038,1037,51.74,0.12
C039,1038,123.50,0.00
C040,1039,80.18,0.05
C041,1040,148.76,0.08
C042,1041,69.83,0.05
C043,1042,287.14,0.12
C044,1043,52.07,0.08
C045,1044,104.69,0.05
C046,1045,55.67,0.05
C047,1046,160.63,0.03
C048,1047,119.60,0.08
C049,1048,168.15,0.05
C050,1049,85.36,0.03
C051,1050,48.31,0.03
C052,1051,51.24,0.08
C053,1052,46.30,0.00
C054,1053,243.43,0.08
C055,1054,162.29,0.08
C056,1055,109.17,0.10
C057,1056,47.50,0.05
C058,1057,57.04,0.03
C059,1058,31.86,0.10
C060,1059,67.62,0.08
C061,1060,33.63,0.05
C062,1061,70.50,0.00
C063,1062,39.05,0.05
C064,1063,50.70,0.00
C065,1064,48.16,0.05
C066,1065,49.59,0.10
C067,1066,817.47,0.10
C068,1067,862.88,0.05
C069,1068,130.00,0.00
C070,1069,45.91,0.08
C071,1070,224.90,0.00
C072,1071,72.18,0.10
C073,1072,219.05,0.08
C074,1073,53.01,0.05
C075,1074,60.30,0.00
C076,1075,37.90,0.08
C077,1076,37.08,0.10
C078,1077,62.04,0.12
C079,1078,43.32,0.05
C080,1079,49.86,0.03
C058,1034,89.24,0.08
C073,1073,53.01,0.05
C032,1058,31.86,0.10
C074,1035,61.46,0.05
C007,1023,55.80,0.00
C003,1054,155.23,0.12
C064,1016,48.58,0.08
C069,1005,36.52,0.08
C070,1018,50.25,0.05
C048,1028,50.22,0.10
C005,1059,66.15,0.10
C077,1036,38.81,0.12
C075,1001,44.65,0.05
C050,1029,41.36,0.12
C009,1032,41.89,0.05
C022,1053,251.37,0.05
