farmID,farmName,country,region,altitude,processingMethod
F001,metad plc,Ethiopia,guji-hambela,2075,Washed / Wet
F002,"san marcos barrancas ""san cristobal cuch",Guatemala,Unknown,1700,Washed / Wet
F003,yidnekachew dabessa coffee plantation,Ethiopia,oromia,2000,Natural / Dry
F004,aolme,Ethiopia,oromia,1635,Washed / Wet
F005,tulla coffee farm,Ethiopia,"snnp/kaffa zone,gimbowereda",1822,Natural / Dry
F006,fahem coffee plantation,Ethiopia,oromia,1905,Natural / Dry
F007,el filo,United States,antioquia,1872,Washed / Wet
F008,los cedros,United States,antioquia,1943,Washed / Wet
F009,arianna farms,United States (Hawaii),kona,610,Washed / Wet
F010,el águila,United States,antioquia,2080,Washed / Wet
F011,toarco jaya,Indonesia,sulawesi,1500,Washed / Wet
F012,echo coffee,China,yunnan,1450,Washed / Wet
F013,drima zede,Ethiopia,gedio,1850,Natural / Dry
F014,el rodeo,United States,antioquia,2019,Washed / Wet
F015,several,Costa Rica,san ramon,1300,Washed / Wet
F016,la herradura,Mexico,xalapa,1320,Washed / Wet
F017,la curva,United States,antioquia,2112,Washed / Wet
F018,fazenda kaquend,Brazil,south of minas,1250,Natural / Dry
F019,chebonet (23) women coffee,Uganda,kapchorwa eastern,1950,Washed / Wet
F020,los hicaques,Honduras,comayagua,1400,Washed / Wet
F021,tsoustructive garden 鄒築園,Taiwan,"leye, alishan township, chiayi county",1200,Pulped natural / honey
F022,fazenda recreio,Brazil,vale da grama,1300,Natural / Dry
F023,exclusive coffees s.a.,Costa Rica,west and central valley,1300,Washed / Wet
F024,haider abamecha coffee plantation,Ethiopia,oromia,1775,Natural / Dry
F025,kangunu,Kenya,muranga,1800,Washed / Wet
F026,kona pacific farmers cooperative,United States (Hawaii),kona,891,Washed / Wet
F027,"phone number | 0911-51-08-01, email | at",Ethiopia,yirgacheffe,806,Washed / Wet
F028,la primavera,United States,antioquia,1941,Washed / Wet
F029,co-op #12,Thailand,chiang rai,1300,Washed / Wet
F030,pereira estate coffee,Brazil,sul de minas - carmo de minas,12,Washed / Wet
F031,sunshine valley estate 向陽高山咖啡,Taiwan,natou county,1000,Semi-washed / Semi-pulped
F032,jungle estate,Kenya,nyeri,1754,Natural / Dry
F033,kaasayi,Uganda,eastern uganda,1546,Semi-washed / Semi-pulped
F034,ecobio colombia,Colombia,tolima,1200,Washed / Wet
F035,kianjavi,Kenya,kiambu,1860,Washed / Wet
F036,contact | sidacoop@ethionet.net,Ethiopia,sidamo,1750,Washed / Wet
F037,hula daddy kona coffee,United States (Hawaii),kona,427,Washed / Wet
F038,la esperanza y anexos,Guatemala,nuevo oriente,1879,Washed / Wet
F039,sipi organic coffee project,Uganda,eastern,1650,Natural / Dry
F040,la berlina estate,Panama,boquete,1600,Washed / Wet
F041,valparaiso,Guatemala,acatenango,1524,Washed / Wet
F042,finca el limon,Guatemala,nuevo oriente,1417,Washed / Wet
F043,seid damtew coffee planation,Ethiopia,addis ababa,818,Natural / Dry
F044,tairora cherry – bonta,Papua New Guinea,eastern highlands province,1700,Washed / Wet
F045,el majahual,El Salvador,apaneca,1500,Washed / Wet
F046,finca la esmeralda,El Salvador,"ataco, apaneca - ilamatepec mountain range",1350,Semi-washed / Semi-pulped
F047,elida estate,Panama,boquete,1680,Natural / Dry
F048,inoi,Kenya,kirinyaga,1900,Natural / Dry
F049,buginyanya,Uganda,bulambuli eastern region,1600,Washed / Wet
F050,asoperc,Guatemala,huehuetenango,1731,Washed / Wet
F051,chesiyo farmer group,Uganda,kapchorwa,1950,Washed / Wet
F052,fazenda serra de três barras,Brazil,south of minas,1250,Semi-washed / Semi-pulped
F053,sierra nevada,El Salvador,apaneca,1400,Washed / Wet
F054,pu'er city longke coffee co.ltd,China,yunnan,1700,Natural / Dry
F055,el injerto s.a.,Guatemala,huehuetenango,1770,Natural / Dry
F056,phone number | 0911-513824 email: gmt.ft,Ethiopia,yirgacheffe,901,Washed / Wet
F057,various,Colombia,santander,1550,Washed / Wet
F058,coop. hoja blanca - fedecocagua,Guatemala,huehuetenango,1400,Washed / Wet
F059,aricha coop,Ethiopia,aricha,1700,Natural / Dry
F060,mount elgon area,Uganda,eastern uganda,1800,Washed / Wet
F061,estate la patricia,Costa Rica,tarrazu,1900,Washed / Wet
F062,various,Mexico,veracruz,1300,Washed / Wet
F063,machure estate,Kenya,central kenya,1580,Washed / Wet
F064,sitío são geraldo,Brazil,grama valley,1100,Natural / Dry
F065,kassandra,Mexico,mexico,1400,Washed / Wet
F066,la igualdad,Guatemala,"chuva, san marcos",1326,Washed / Wet
F067,baishengcun coffee 百勝村咖啡莊園,Taiwan,natou county,800,Semi-washed / Semi-pulped
F068,hasambo amcos,"Tanzania, United Republic Of",mbeya,1620,Washed / Wet
F069,el suspiro,Mexico,coatepec,1200,Semi-washed / Semi-pulped
F070,fazenda grota funda,Brazil,south of minas,1200,Natural / Dry
F071,sitio claro,Brazil,south of minas,1000,Natural / Dry
F072,shi fang yuan 十方源,Taiwan,"dongshan dist., tainan city 臺南市東山區",350,Natural / Dry
F073,mt.elgon bugisu shamba 2,Uganda,eastern,1650,Natural / Dry
F074,matsuzawa coffee,Thailand,thailand,2017,Pulped natural / honey
F075,karatina,Kenya,nyeri,1800,Washed / Wet
F076,cerro bueno,Honduras,marcala,1450,Washed / Wet
F077,several,El Salvador,santa ana,1200,Washed / Wet
F078,santa martha,Nicaragua,jinotega,925,Washed / Wet
F079,monterrey,El Salvador,apaneca,1350,Washed / Wet
F080,sran temanggung plantation,Indonesia,"temanggung, indonesia",1200,Washed / Wet
F081,ada farm,Japan,ada okinawa japan,170,Pulped natural / honey
F082,rio jorco,Costa Rica,tarrazu,1150,Washed / Wet
F083,san diego buena vista,Guatemala,acatenango,1600,Washed / Wet
F084,coopetarrazú,Costa Rica,tarrazu,1750,Washed / Wet
F085,moplaco,Ethiopia,yirgacheffe,1900,Washed / Wet
F086,finca salaca las brisas,Costa Rica,costa rica,1750,Other
F087,various,Costa Rica,west valley,1200,Washed / Wet
F088,dragon 龍咖啡,Taiwan,taichung xinshe 台中市新社區,1000,Washed / Wet
F089,agropecuaria quiagral,Guatemala,oriente,1311,Washed / Wet
F090,"el nogal, la higuera, los laureles",Mexico,el remudadero,1200,Washed / Wet
F091,blend,Kenya,nyeri,1800,Washed / Wet
F092,el morito,Guatemala,jalapa,1524,Washed / Wet
F093,el papaturro,Guatemala,oriente,1219,Washed / Wet
F094,la chaparral,Costa Rica,tres rios,1575,Semi-washed / Semi-pulped
F095,fazenda vista alegre,Brazil,mountains of minas gerais,1100,Semi-washed / Semi-pulped
F096,kawacom sipi project,Uganda,eastern uganda,1750,Washed / Wet
F097,menglian ban’an coffee processing factory,China,yunnan,1680,Washed / Wet
F098,"puer jiangcheng fuwang coffee biotechnology co., ltd",China,yunnan,1100,Washed / Wet
F099,el sacramento,Guatemala,oriente,1311,Washed / Wet
F100,rumukia farmers,Kenya,nyeri,2000,Washed / Wet
F101,la barranca,Mexico,hustusco,1350,Washed / Wet
F102,finca el retiro,Mexico,jaltenango,1500,Washed / Wet
F103,nueva granada,Guatemala,"el tumbador, san marcos",847,Washed / Wet
F104,several farmers,Costa Rica,tarrazu,1300,Washed / Wet
F105,darmawi,Indonesia,sumatra brastagi,1400,Other
F106,tropica galliard,Taiwan,"mountain ali, taiwan",1200,Washed / Wet
F107,finca la chiripa,Mexico,tapachula,900,Washed / Wet
F108,kigwandi,Kenya,nyeri,1800,Washed / Wet
F109,las cuchillas,Honduras,comayagua,1500,Washed / Wet
F110,la distancia,Mexico,tuxtla gutierrez,1700,Washed / Wet
F111,santa alina,Brazil,vale da grama,1275,Washed / Wet
F112,fazenda baipendi,Brazil,south of minas,1050,Washed / Wet
F113,las minas,Guatemala,nuevo oriente,1387,Washed / Wet
F114,馨晴咖啡 good mood coffee,Taiwan,國姓鄉 guoshing township,1000,Washed / Wet
F115,finca medina,Guatemala,antigua,1500,Washed / Wet
F116,finca san vicente,Guatemala,huehuetenango,1099,Washed / Wet
