lineID,batchID,quantityFromBatchKg
L00001,RB0057,18.43
L00002,RB0060,9.16
L00003,RB0039,20.04
L00004,RB0015,24.84
L00005,RB0064,9.09
L00006,RB0062,11.82
L00007,RB0045,3.03
L00008,RB0048,21.92
L00009,RB0016,5.91
L00010,RB0030,14.65
L00011,RB0046,12.33
L00012,RB0033,11.22
L00013,RB0035,18.36
L00014,RB0068,3.72
L00015,RB0012,4.06
L00016,RB0014,23.60
L00017,RB0002,18.13
L00018,RB0045,17.53
L00019,RB0048,21.67
L00020,RB0058,4.27
L00021,RB0058,21.26
L00022,RB0050,16.15
L00023,RB0020,17.22
L00024,RB0023,24.41
L00025,RB0031,4.01
L00026,RB0023,5.50
L00027,RB0043,19.99
L00028,RB0027,8.95
L00029,RB0058,11.68
L00030,RB0019,8.52
L00031,RB0032,14.27
L00032,RB0055,4.11
L00033,RB0048,22.48
L00034,RB0049,18.31
L00035,RB0021,19.45
L00036,RB0034,4.33
L00037,RB0047,16.42
L00038,RB0051,13.03
L00039,RB0069,8.81
L00040,RB0056,10.59
L00041,RB0001,21.17
L00042,RB0030,24.95
L00043,RB0061,6.57
L00044,RB0029,10.62
L00045,RB0030,4.23
L00046,RB0020,19.35
L00047,RB0045,22.80
L00048,RB0057,3.68
L00049,RB0042,10.82
L00050,RB0001,13.65
L00051,RB0060,19.56
L00052,RB0044,23.46
L00053,RB0059,22.23
L00054,RB0007,13.44
L00055,RB0031,23.57
L00056,RB0003,20.06
L00057,RB0034,9.77
L00058,RB0018,6.06
L00059,RB0035,18.76
L00060,RB0024,17.89
L00061,RB0063,10.49
L00062,RB0024,5.23
L00063,RB0021,17.77
L00064,RB0031,19.12
L00065,RB0068,19.74
L00066,RB0017,13.70
L00067,RB0023,19.76
L00068,RB0036,13.50
L00069,RB0052,12.82
L00070,RB0061,10.05
L00071,RB0008,16.68
L00072,RB0049,3.54
L00073,RB0054,11.12
L00074,RB0034,16.67
L00075,RB0042,18.04
L00076,RB0018,12.20
L00077,RB0010,4.57
L00078,RB0030,10.40
L00079,RB0057,24.32
L00080,RB0039,17.98
L00081,RB0012,12.95
L00082,RB0047,17.99
L00083,RB0022,2.75
L00084,RB0054,17.03
L00085,RB0036,20.76
L00086,RB0059,11.86
L00087,RB0070,10.01
L00088,RB0062,8.19
L00089,RB0006,14.52
L00090,RB0008,9.96
