lineID,orderID,productID,quantity,linePrice
L00001,O0001,1069,18.43,919.66
L00002,O0002,1039,9.16,773.10
L00003,O0003,1070,20.04,4507.00
L00004,O0004,1043,24.84,1405.94
L00005,O0005,1018,9.09,480.86
L00006,O0006,1025,11.82,413.70
L00007,O0007,1063,3.03,153.62
L00008,O0008,1008,21.92,824.19
L00009,O0009,1019,5.91,229.90
L00010,O0010,1006,14.65,753.01
L00011,O0011,1008,12.33,463.61
L00012,O0012,1024,11.22,659.74
L00013,O0013,1055,18.36,2227.07
L00014,O0014,1046,3.72,616.03
L00015,O0015,1027,4.06,179.05
L00016,O0016,1005,23.60,936.92
L00017,O0017,1039,18.13,1530.17
L00018,O0018,1026,17.53,1027.26
L00019,O0019,1019,21.67,842.96
L00020,O0020,1067,4.27,3878.44
L00021,O0021,1006,21.26,1092.76
L00022,O0022,1060,16.15,571.71
L00023,O0023,1042,17.22,5618.89
L00024,O0024,1051,24.41,1359.64
L00025,O0025,1013,4.01,275.49
L00026,O0026,1027,5.50,242.55
L00027,O0027,1017,19.99,919.54
L00028,O0028,1074,8.95,539.68
L00029,O0029,1065,11.68,643.57
L00030,O0030,1033,8.52,426.00
L00031,O0031,1023,14.27,796.27
L00032,O0032,1070,4.11,924.34
L00033,O0033,1000,22.48,2034.44
L00034,O0034,1077,18.31,1290.86
L00035,O0035,1066,19.45,17666.43
L00036,O0036,1076,4.33,178.40
L00037,O0037,1031,16.42,817.72
L00038,O0038,1070,13.03,2930.45
L00039,O0039,1047,8.81,1145.30
L00040,O0040,1059,10.59,778.37
L00041,O0041,1036,21.17,933.60
L00042,O0042,1072,24.95,5940.59
L00043,O0043,1043,6.57,371.86
L00044,O0044,1005,10.62,421.61
L00045,O0045,1074,4.23,255.07
L00046,O0046,1047,19.35,2515.50
L00047,O0047,1022,22.80,1060.20
L00048,O0048,1079,3.68,189.15
L00049,O0049,1073,10.82,603.76
L00050,O0050,1017,13.65,627.90
L00051,O0051,1012,19.56,1120.79
L00052,O0052,1062,23.46,964.21
L00053,O0053,1029,22.23,1044.81
L00054,O0054,1067,13.44,12207.55
L00055,O0055,1040,23.57,3811.27
L00056,O0056,1053,20.06,5307.88
L00057,O0057,1034,9.77,947.69
L00058,O0058,1061,6.06,427.23
L00059,O0059,1013,18.76,1288.81
L00060,O0060,1006,17.89,919.55
L00061,O0061,1018,10.49,554.92
L00062,O0062,1005,5.23,207.63
L00063,O0063,1021,17.77,707.25
L00064,O0064,1051,19.12,1064.98
L00065,O0065,1022,19.74,917.91
L00066,O0066,1031,13.70,682.26
L00067,O0067,1023,19.76,1102.61
L00068,O0068,1062,13.50,554.85
L00069,O0069,1000,12.82,1160.21
L00070,O0070,1035,10.05,650.24
L00071,O0071,1064,16.68,845.68
L00072,O0072,1028,3.54,197.53
L00073,O0073,1060,11.12,393.65
L00074,O0074,1006,16.67,856.84
L00075,O0075,1053,18.04,4773.38
L00076,O0076,1041,12.20,896.70
L00077,O0077,1001,4.57,214.79
L00078,O0078,1045,10.40,609.44
L00079,O0079,1030,24.32,1211.14
L00080,O0080,1070,17.98,4043.70
L00081,O0081,1071,12.95,1038.59
L00082,O0082,1075,17.99,741.19
L00083,O0083,1029,2.75,129.25
L00084,O0084,1016,17.03,899.18
L00085,O0085,1025,20.76,726.60
L00086,O0086,1060,11.86,419.84
L00087,O0087,1001,10.01,470.47
L00088,O0088,1016,8.19,432.43
L00089,O0089,1045,14.52,850.87
L00090,O0090,1009,9.96,717.12
