profileID,profileName,roastLevel,durationMinutes,temperatureCurve
RP001,Medium-Light Profile 1,Medium-Light,11.0,185→205→212°C
RP002,Medium-Light Profile 2,Medium-Light,10.5,185→205→212°C
RP003,Medium-Light Profile 3,Medium-Light,10.8,185→205→212°C
RP004,Medium-Light Profile 4,Medium-Light,11.8,185→205→212°C
RP005,Medium-Light Profile 5,Medium-Light,10.9,185→205→212°C
RP006,Medium-Light Profile 6,Medium-Light,10.9,185→205→212°C
RP007,Medium-Light Profile 7,Medium-Light,10.6,185→205→212°C
RP008,Medium-Light Profile 8,Medium-Light,11.6,185→205→212°C
RP009,Medium-Light Profile 9,Medium-Light,11.3,185→205→212°C
RP010,Medium-Light Profile 10,Medium-Light,11.1,185→205→212°C
RP011,Medium-Light Profile 11,Medium-Light,10.7,185→205→212°C
RP012,Medium-Light Profile 12,Medium-Light,11.6,185→205→212°C
RP013,Medium-Light Profile 13,Medium-Light,11.0,185→205→212°C
RP014,Medium-Light Profile 14,Medium-Light,11.8,185→205→212°C
RP015,Light Profile 15,Light,9.2,180→200→205°C
RP016,Medium-Dark Profile 16,Medium-Dark,13.3,195→215→224°C
RP017,Medium-Light Profile 17,Medium-Light,11.4,185→205→212°C
RP018,Medium-Light Profile 18,Medium-Light,10.6,185→205→212°C
RP019,Medium-Light Profile 19,Medium-Light,10.1,185→205→212°C
RP020,Medium-Light Profile 20,Medium-Light,10.7,185→205→212°C
RP021,Medium-Light Profile 21,Medium-Light,10.1,185→205→212°C
RP022,Medium-Light Profile 22,Medium-Light,10.7,185→205→212°C
RP023,Medium-Light Profile 23,Medium-Light,10.2,185→205→212°C
RP024,Medium-Light Profile 24,Medium-Light,11.0,185→205→212°C
RP025,Medium Profile 25,Medium,13.0,190→210→218°C
RP026,Medium-Light Profile 26,Medium-Light,11.4,185→205→212°C
RP027,Medium-Light Profile 27,Medium-Light,10.8,185→205→212°C
RP028,Medium-Light Profile 28,Medium-Light,10.6,185→205→212°C
RP029,Medium-Light Profile 29,Medium-Light,11.6,185→205→212°C
RP030,Medium-Light Profile 30,Medium-Light,10.9,185→205→212°C
RP031,Medium Profile 31,Medium,13.5,190→210→218°C
RP032,Medium Profile 32,Medium,13.3,190→210→218°C
RP033,Medium-Light Profile 33,Medium-Light,11.7,185→205→212°C
RP034,Medium-Light Profile 34,Medium-Light,10.7,185→205→212°C
RP035,Medium-Light Profile 35,Medium-Light,10.9,185→205→212°C
RP036,Medium Profile 36,Medium,11.2,190→210→218°C
RP037,Medium-Light Profile 37,Medium-Light,10.2,185→205→212°C
RP038,Medium-Light Profile 38,Medium-Light,11.9,185→205→212°C
RP039,Light Profile 39,Light,9.3,180→200→205°C
RP040,Medium-Dark Profile 40,Medium-Dark,15.4,195→215→224°C
RP041,Medium Profile 41,Medium,12.3,190→210→218°C
RP042,Medium-Light Profile 42,Medium-Light,11.2,185→205→212°C
RP043,Medium Profile 43,Medium,13.9,190→210→218°C
RP044,Light Profile 44,Light,9.9,180→200→205°C
RP045,Medium-Light Profile 45,Medium-Light,10.7,185→205→212°C
RP046,Light Profile 46,Light,10.0,180→200→205°C
RP047,Medium-Light Profile 47,Medium-Light,10.5,185→205→212°C
RP048,Medium-Light Profile 48,Medium-Light,10.7,185→205→212°C
RP049,Medium-Light Profile 49,Medium-Light,10.4,185→205→212°C
RP050,Medium Profile 50,Medium,12.2,190→210→218°C
RP051,Medium-Light Profile 51,Medium-Light,10.2,185→205→212°C
RP052,Medium-Light Profile 52,Medium-Light,11.1,185→205→212°C
RP053,Medium-Light Profile 53,Medium-Light,10.7,185→205→212°C
RP054,Medium-Light Profile 54,Medium-Light,10.5,185→205→212°C
RP055,Medium-Light Profile 55,Medium-Light,11.7,185→205→212°C
RP056,Medium-Light Profile 56,Medium-Light,10.8,185→205→212°C
RP057,Light Profile 57,Light,9.6,180→200→205°C
RP058,Light Profile 58,Light,10.3,180→200→205°C
RP059,Medium-Light Profile 59,Medium-Light,10.7,185→205→212°C
RP060,Light Profile 60,Light,10.3,180→200→205°C
RP061,Medium-Light Profile 61,Medium-Light,11.5,185→205→212°C
RP062,Medium-Light Profile 62,Medium-Light,11.6,185→205→212°C
RP063,Medium-Light Profile 63,Medium-Light,10.7,185→205→212°C
RP064,Medium-Light Profile 64,Medium-Light,10.8,185→205→212°C
RP065,Medium-Light Profile 65,Medium-Light,10.1,185→205→212°C
RP066,Light Profile 66,Light,10.6,180→200→205°C
RP067,Medium-Light Profile 67,Medium-Light,10.1,185→205→212°C
RP068,Medium-Light Profile 68,Medium-Light,10.3,185→205→212°C
RP069,Medium-Light Profile 69,Medium-Light,10.8,185→205→212°C
RP070,Medium-Light Profile 70,Medium-Light,11.6,185→205→212°C
RP071,Medium-Light Profile 71,Medium-Light,10.9,185→205→212°C
RP072,Medium-Light Profile 72,Medium-Light,10.4,185→205→212°C
RP073,Medium-Light Profile 73,Medium-Light,11.7,185→205→212°C
RP074,Light Profile 74,Light,10.6,180→200→205°C
RP075,Medium-Light Profile 75,Medium-Light,10.6,185→205→212°C
RP076,Light Profile 76,Light,10.8,180→200→205°C
RP077,Light Profile 77,Light,10.2,180→200→205°C
RP078,Light Profile 78,Light,9.6,180→200→205°C
RP079,Medium Profile 79,Medium,13.8,190→210→218°C
RP080,Light Profile 80,Light,9.9,180→200→205°C
RP081,Medium Profile 81,Medium,12.4,190→210→218°C
RP082,Medium-Light Profile 82,Medium-Light,11.9,185→205→212°C
RP083,Medium-Light Profile 83,Medium-Light,10.3,185→205→212°C
RP084,Medium-Light Profile 84,Medium-Light,11.3,185→205→212°C
RP085,Medium-Light Profile 85,Medium-Light,11.1,185→205→212°C
RP086,Light Profile 86,Light,10.3,180→200→205°C
RP087,Light Profile 87,Light,9.1,180→200→205°C
RP088,Medium-Light Profile 88,Medium-Light,11.9,185→205→212°C
RP089,Medium-Light Profile 89,Medium-Light,11.4,185→205→212°C
RP090,Medium-Light Profile 90,Medium-Light,10.7,185→205→212°C
RP091,Medium-Light Profile 91,Medium-Light,10.8,185→205→212°C
RP092,Medium-Light Profile 92,Medium-Light,10.6,185→205→212°C
RP093,Medium-Light Profile 93,Medium-Light,11.9,185→205→212°C
RP094,Medium-Light Profile 94,Medium-Light,10.2,185→205→212°C
RP095,Medium-Light Profile 95,Medium-Light,11.2,185→205→212°C
RP096,Medium-Light Profile 96,Medium-Light,10.4,185→205→212°C
RP097,Medium-Light Profile 97,Medium-Light,11.3,185→205→212°C
RP098,Medium-Light Profile 98,Medium-Light,10.7,185→205→212°C
RP099,Light Profile 99,Light,9.6,180→200→205°C
RP100,Medium Profile 100,Medium,13.9,190→210→218°C
RP101,Medium-Light Profile 101,Medium-Light,10.9,185→205→212°C
RP102,Medium-Light Profile 102,Medium-Light,11.6,185→205→212°C
RP103,Medium-Dark Profile 103,Medium-Dark,14.5,195→215→224°C
RP104,Medium-Light Profile 104,Medium-Light,10.9,185→205→212°C
RP105,Medium-Light Profile 105,Medium-Light,11.4,185→205→212°C
RP106,Medium Profile 106,Medium,11.9,190→210→218°C
