orderID,clientID,orderDate,status
O0001,C055,2025-01-23,Shipped
O0002,C064,2025-12-11,Confirmed
O0003,C006,2025-05-18,Shipped
O0004,C068,2026-03-06,Confirmed
O0005,C064,2026-03-20,Delivered
O0006,C029,2025-05-25,Shipped
O0007,C014,2025-08-15,Shipped
O0008,C072,2025-05-24,Delivered
O0009,C067,2026-04-27,Delivered
O0010,C051,2025-07-28,Delivered
O0011,C058,2025-02-26,Pending
O0012,C056,2026-01-25,Shipped
O0013,C067,2025-07-02,Confirmed
O0014,C018,2025-04-10,Delivered
O0015,C031,2026-05-13,Pending
O0016,C027,2025-02-07,Packed
O0017,C004,2025-01-06,Packed
O0018,C042,2025-10-08,Pending
O0019,C032,2026-01-10,Delivered
O0020,C056,2025-12-24,Packed
O0021,C024,2025-06-05,Confirmed
O0022,C042,2025-04-19,Shipped
O0023,C047,2026-02-07,Confirmed
O0024,C029,2025-08-01,Confirmed
O0025,C056,2025-07-20,Shipped
O0026,C050,2025-02-09,Delivered
O0027,C064,2026-03-21,Pending
O0028,C018,2025-09-01,Delivered
O0029,C014,2025-03-06,Confirmed
O0030,C046,2025-10-10,Shipped
O0031,C057,2025-09-24,Packed
O0032,C047,2025-04-20,Packed
O0033,C007,2025-02-24,Shipped
O0034,C013,2025-10-31,Shipped
O0035,C011,2026-02-04,Shipped
O0036,C050,2025-04-03,Packed
O0037,C061,2025-03-13,Delivered
O0038,C001,2025-03-25,Delivered
O0039,C012,2025-06-19,Pending
O0040,C019,2025-04-23,Packed
O0041,C026,2025-12-05,Packed
O0042,C008,2025-03-19,Confirmed
O0043,C012,2025-03-10,Shipped
O0044,C046,2025-08-14,Delivered
O0045,C027,2026-02-23,Confirmed
O0046,C056,2025-06-24,Shipped
O0047,C012,2025-12-12,Pending
O0048,C042,2025-12-09,Packed
O0049,C030,2026-02-22,Pending
O0050,C071,2025-02-03,Confirmed
O0051,C032,2025-05-28,Confirmed
O0052,C072,2026-02-10,Pending
O0053,C078,2026-04-04,Delivered
O0054,C070,2025-05-15,Delivered
O0055,C072,2025-07-08,Packed
O0056,C017,2026-03-10,Packed
O0057,C005,2025-11-05,Packed
O0058,C041,2025-12-20,Delivered
O0059,C045,2025-09-17,Delivered
O0060,C038,2025-02-10,Packed
O0061,C024,2025-11-09,Packed
O0062,C014,2026-01-11,Shipped
O0063,C069,2025-04-12,Packed
O0064,C010,2025-04-09,Confirmed
O0065,C046,2025-08-07,Delivered
O0066,C037,2025-12-01,Delivered
O0067,C070,2025-03-25,Packed
O0068,C034,2026-01-09,Pending
O0069,C021,2026-02-04,Confirmed
O0070,C024,2025-02-21,Confirmed
O0071,C078,2025-02-21,Packed
O0072,C010,2025-07-04,Pending
O0073,C033,2025-07-04,Confirmed
O0074,C053,2025-02-17,Shipped
O0075,C067,2026-02-10,Shipped
O0076,C016,2025-12-08,Shipped
O0077,C043,2025-05-27,Delivered
O0078,C040,2025-08-14,Delivered
O0079,C001,2025-02-17,Delivered
O0080,C080,2025-02-21,Delivered
O0081,C057,2026-03-05,Packed
O0082,C046,2026-04-28,Shipped
O0083,C017,2025-07-18,Pending
O0084,C027,2025-05-03,Delivered
O0085,C054,2025-03-08,Delivered
O0086,C011,2025-03-31,Shipped
O0087,C054,2025-03-28,Delivered
O0088,C050,2026-02-28,Packed
O0089,C004,2025-03-04,Delivered
O0090,C051,2025-05-17,Shipped
