shipmentID,orderID,shipmentDate,carrier,trackingNumber
SH0001,O0001,2025-01-24,UPS,TRK699583828
SH0002,O0002,2025-12-13,UPS,TRK744186469
SH0003,O0003,2025-05-22,USPS,TRK529163727
SH0004,O0004,2026-03-12,USPS,TRK168842470
SH0005,O0005,2026-03-22,FedEx,TRK474832689
SH0006,O0006,2025-05-27,DHL,TRK849452978
SH0007,O0007,2025-08-19,USPS,TRK225589789
SH0008,O0008,2025-05-28,UPS,TRK485553539
SH0009,O0009,2026-05-02,USPS,TRK210071781
SH0010,O0010,2025-07-30,DHL,TRK196248360
SH0011,O0011,2025-03-04,UPS,TRK495339707
SH0012,O0012,2026-01-27,FedEx,TRK188479186
SH0013,O0013,2025-07-03,USPS,TRK978446244
SH0014,O0014,2025-04-16,USPS,TRK884251484
SH0015,O0015,2026-05-17,USPS,TRK867329732
SH0016,O0016,2025-02-08,USPS,TRK155349745
SH0017,O0017,2025-01-07,DHL,TRK644924723
SH0018,O0018,2025-10-12,USPS,TRK994649479
SH0019,O0019,2026-01-16,DHL,TRK494901267
SH0020,O0020,2025-12-27,UPS,TRK457678956
SH0021,O0021,2025-06-10,FedEx,TRK230022719
SH0022,O0022,2025-04-20,USPS,TRK520730735
SH0023,O0023,2026-02-12,DHL,TRK135401004
SH0024,O0024,2025-08-03,DHL,TRK439386023
SH0025,O0025,2025-07-26,DHL,TRK262893920
SH0026,O0026,2025-02-12,USPS,TRK487297240
SH0027,O0027,2026-03-23,UPS,TRK761031872
SH0028,O0028,2025-09-05,FedEx,TRK323327320
SH0029,O0029,2025-03-09,FedEx,TRK851879375
SH0030,O0030,2025-10-14,FedEx,TRK435174111
SH0031,O0031,2025-09-26,FedEx,TRK597732762
SH0032,O0032,2025-04-24,DHL,TRK611133702
SH0033,O0033,2025-03-02,USPS,TRK597402232
SH0034,O0034,2025-11-03,USPS,TRK872747460
SH0035,O0035,2026-02-07,UPS,TRK799332021
SH0036,O0036,2025-04-07,USPS,TRK205810578
SH0037,O0037,2025-03-18,DHL,TRK510995146
SH0038,O0038,2025-03-30,FedEx,TRK350341184
SH0039,O0039,2025-06-20,FedEx,TRK847498987
SH0040,O0040,2025-04-27,USPS,TRK827008727
SH0041,O0041,2025-12-10,DHL,TRK752188287
SH0042,O0042,2025-03-21,DHL,TRK287870760
SH0043,O0043,2025-03-15,FedEx,TRK848959285
SH0044,O0044,2025-08-18,UPS,TRK726251616
SH0045,O0045,2026-02-27,UPS,TRK495405622
SH0046,O0046,2025-06-28,FedEx,TRK280641841
SH0047,O0047,2025-12-15,FedEx,TRK250038650
SH0048,O0048,2025-12-12,USPS,TRK265874310
SH0049,O0049,2026-02-24,USPS,TRK388006280
SH0050,O0050,2025-02-08,FedEx,TRK758478941
SH0051,O0051,2025-05-30,DHL,TRK305374092
SH0052,O0052,2026-02-15,UPS,TRK905476723
SH0053,O0053,2026-04-07,FedEx,TRK756177265
SH0054,O0054,2025-05-19,UPS,TRK294247315
SH0055,O0055,2025-07-10,DHL,TRK768565342
SH0056,O0056,2026-03-16,FedEx,TRK449810473
SH0057,O0057,2025-11-06,UPS,TRK361322999
SH0058,O0058,2025-12-21,DHL,TRK331418731
SH0059,O0059,2025-09-18,FedEx,TRK595887870
SH0060,O0060,2025-02-14,FedEx,TRK201472587
SH0061,O0061,2025-11-14,UPS,TRK750740191
SH0062,O0062,2026-01-17,FedEx,TRK802725894
SH0063,O0063,2025-04-13,USPS,TRK267259866
SH0064,O0064,2025-04-11,DHL,TRK283423788
SH0065,O0065,2025-08-11,FedEx,TRK724811067
SH0066,O0066,2025-12-04,USPS,TRK124208780
SH0067,O0067,2025-03-30,USPS,TRK433840563
SH0068,O0068,2026-01-13,USPS,TRK879027055
SH0069,O0069,2026-02-09,FedEx,TRK711494485
SH0070,O0070,2025-02-23,FedEx,TRK345701209
SH0071,O0071,2025-02-24,USPS,TRK643066204
SH0072,O0072,2025-07-06,FedEx,TRK270572313
SH0073,O0073,2025-07-09,FedEx,TRK349530204
SH0074,O0074,2025-02-21,UPS,TRK201410153
SH0075,O0075,2026-02-13,FedEx,TRK852469212
SH0076,O0076,2025-12-09,USPS,TRK872032955
SH0077,O0077,2025-06-02,USPS,TRK348358944
SH0078,O0078,2025-08-19,FedEx,TRK951383518
SH0079,O0079,2025-02-22,USPS,TRK871006601
SH0080,O0080,2025-02-22,DHL,TRK370045333
SH0081,O0081,2026-03-10,DHL,TRK385629940
SH0082,O0082,2026-04-30,FedEx,TRK762855524
SH0083,O0083,2025-07-20,FedEx,TRK109503924
SH0084,O0084,2025-05-09,UPS,TRK540293954
SH0085,O0085,2025-03-13,DHL,TRK624282112
SH0086,O0086,2025-04-01,FedEx,TRK599198690
SH0087,O0087,2025-03-31,UPS,TRK568219699
SH0088,O0088,2026-03-05,DHL,TRK202913546
SH0089,O0089,2025-03-08,UPS,TRK251853051
SH0090,O0090,2025-05-20,DHL,TRK236633516
